column,missing_count,missing_rate,dtype
no_disposition,0,,int64
date_mutation,0,,datetime64[s]
nature_mutation,0,,str
valeur_fonciere,0,,Float64
no_voie,0,,float64
type_de_voie,0,,str
code_voie,0,,str
voie,0,,str
code_postal,0,,Float64
commune,0,,str
code_departement,0,,str
code_commune,0,,int64
section,0,,str
no_plan,0,,int64
1er_lot,0,,str
nombre_de_lots,0,,int64
code_type_local,0,,float64
type_local,0,,str
surface_reelle_bati,0,,Float64
nombre_pieces_principales,0,,Float64
nature_culture,0,,str
surface_terrain,0,,Float64
